ID,No.,Name,Team,Nationality,Age,Batting style,Bowling style,Salary,Notes
201,,Lungi Ngidi,DC,South Africa,27,Right-handed,Right-arm fast-medium,49000.0,Overseas
202,71,Khaleel Ahmed,DC,India,25,Right-handed,Left-arm medium,514500.0,
203,55,Chetan Sakariya,DC,India,25,Left-handed,Left-arm medium-fast,411600.0,
204,5,Kamlesh Nagarkoti,DC,India,23,Right-Handed,Right-arm fast,98000.0,
205,46,Praveen Dubey,DC,India,29,Right-handed,Right-arm leg spin,49000.0,
206,23,Kuldeep Yadav,DC,India,28,Left-handed,Left-arm unorthodox,196000.0,
207,,Vicky Ostwal,DC,India,20,Left-handed,Left-arm orthodox,19600.0,
208,94,Aiden Markram,SRH,South Africa,28,Right-handed,Right-arm off break,254800.0,Overseas; Captain
209,16,Mayank Agarwal,SRH,India,32,Right-handed,Right-arm off break,808500.0,
210,52,Rahul Tripathi,SRH,India,32,Right-handed,Right-arm medium,833000.0,
211,88,Harry Brook,SRH,England,24,Right-handed,Right-arm medium,1298500.0,Overseas
212,14,Samarth Vyas,SRH,India,27,Right-handed,Right-arm leg break,19600.0,
213,1,Abdul Samad,SRH,India,21,Right-handed,Right-arm leg break,392000.0,
214,63,Anmolpreet Singh,SRH,India,25,Right-handed,Right-arm off-break,19600.0,
215,6,Glenn Phillips,SRH,New Zealand,26,Right-handed,Right-arm off break,147000.0,Overseas
216,45,Heinrich Klaasen,SRH,South Africa,31,Right-handed,Right-arm off spin,514500.0,Overseas
217,,Upendra Yadav,SRH,India,26,Right-handed,Right-arm off spin,24500.0,
218,4,Abhishek Sharma,SRH,India,22,Left-handed,Left-arm orthodox,637000.0,
219,5,Washington Sundar,SRH,India,23,Left-handed,Right-arm off break,857500.0,
220,70,Marco Jansen,SRH,South Africa,23,Right-handed,Left-arm fast,411600.0,Overseas
221,8,Nitish Kumar Reddy,SRH,India,20,Right-handed,Right-arm medium-fast,19600.0,
222,,Sanvir Singh,SRH,India,26,Right-handed,Right-arm medium,19600.0,
223,,Vivrant Sharma,SRH,India,23,Left-handed,Right-arm Leg spin,254800.0,
224,15,Bhuvneshwar Kumar,SRH,India,33,Right-handed,Right arm medium-fast,411600.0,Vice-captain
225,44,T. Natarajan,SRH,India,32,Left-handed,Left arm medium-fast,392000.0,
226,24,Umran Malik,SRH,India,23,Right-handed,Right arm fast,392000.0,
227,83,Fazalhaq Farooqi,SRH,Afghanistan,22,Right-handed,Left-arm medium-fast,49000.0,Overseas
228,9,Kartik Tyagi,SRH,India,22,Right-handed,Right arm fast,392000.0,
229,,Akeal Hosein,SRH,West Indies,30,Left-handed,Left-arm orthodox,98000.0,Overseas
230,95,Adil Rashid,SRH,England,35,Right-handed,Right-arm leg break,196000.0,Overseas
231,,Mayank Dagar,SRH,India,26,Right-handed,Left-arm orthodox,176400.0,
232,11,Mayank Markande,SRH,India,25,Right-handed,Right-arm leg break,49000.0,
233,9,Rahul Tewatia,GT,India,30,Left-handed,Right-arm leg break,882000.0,
234,7,Shubman Gill,GT,India,23,Right-handed,Right-arm off break,784000.0,
235,10,David Miller,GT,South Africa,33,Left-handed,Right-arm off break,294000.0,Overseas
236,18,Abhinav Manohar,GT,India,28,Right-handed,Right-arm leg break,254800.0,
237,23,Sai Sudharsan,GT,India,21,Left-handed,Right-arm leg break,19600.0,
238,,Kane Williamson,GT,New Zealand,32,Right-handed,Right-arm off break,196000.0,Overseas
239,,Urvil Patel,GT,India,24,Right-handed,-,19600.0,
240,,Dasun Shanaka,GT,Sri Lanka,31,Right-handed,Right-arm medium,48699.0,Overseas  Replacement for Kane Williamson
241,6,Wriddhiman Saha,GT,India,38,Right-handed,-,186200.0,
242,13,Matthew Wade,GT,Australia,35,Left-handed,-,235200.0,Overseas
243,14,K. S. Bharat,GT,India,29,Right-handed,-,117600.0,
244,59,Vijay Shankar,GT,India,32,Right-handed,Right-arm medium,137200.0,
245,33,Hardik Pandya,GT,India,29,Right-handed,Right-arm medium-fast,1470000.0,Captain
246,19,Rashid Khan,GT,Afghanistan,24,Right-handed,Right-arm leg break,1470000.0,"Overseas,"
247,1,Ravisrinivasan Sai Kishore,GT,India,26,Left-handed,Left-arm orthodox,294000.0,
248,22,Jayant Yadav,GT,India,33,Right-handed,Right-arm off-break,166600.0,
249,15,Noor Ahmad,GT,Afghanistan,18,Right-handed,Left-arm unorthodox,29400.0,Overseas
250,11,Mohammed Shami,GT,India,32,Right-handed,Right-arm fast,612500.0,
251,133,Yash Dayal,GT,India,25,Left-handed,Left-arm fast-medium,313600.0,
252,8,Alzarri Joseph,GT,West Indies,26,Right-handed,Right-arm fast medium,235200.0,Overseas
253,12,Pradeep Sangwan,GT,India,32,Right-handed,Left-arm medium,19600.0,
254,04,Darshan Nalkande,GT,India,24,Right-handed,Right-arm fast-medium,19600.0,
255,,Shivam Mavi,GT,India,24,Right-handed,Right-arm fast,588000.0,
256,82,Josh Little,GT,Ireland,23,Right-handed,Left-arm medium-fast,431200.0,Overseas
257,27,Mohit Sharma,GT,India,34,Right-handed,Right-arm medium,49000.0,
258,,Odean Smith,GT,West Indies,26,Right-handed,Right-arm fast-medium,49000.0,Overseas
